rid,CPC012_A375_6H:BRD-K29003210-001-06-9:10,CPC012_A549_6H:BRD-K29003210-001-06-9:10,CPC012_A549_24H:BRD-K29003210-001-06-9:10,CPC012_ASC_24H:BRD-K29003210-001-06-9:10,CPC012_HA1E_6H:BRD-K29003210-001-06-9:10,CPC012_HCC515_6H:BRD-K29003210-001-06-9:10,CPC012_HT29_6H:BRD-K29003210-001-06-9:10,CPC012_MCF7_6H:BRD-K29003210-001-06-9:10,CPC012_MCF7_24H:BRD-K29003210-001-06-9:10,CPC012_NEU_24H:BRD-K29003210-001-06-9:10,CPC012_NPC_24H:BRD-K29003210-001-06-9:10,CPC012_PC3_6H:BRD-K29003210-001-06-9:10,CPC012_PC3_24H:BRD-K29003210-001-06-9:10,CPC012_PHH_24H:BRD-K29003210-001-06-9:10,CPC012_SKB_24H:BRD-K29003210-001-06-9:10,CPC012_VCAP_6H:BRD-K29003210-001-06-9:10,CPC012_VCAP_24H:BRD-K29003210-001-06-9:10
10398,2.75367999077,1.34416532516,-0.542100012302,-1.85074448586,0.154389128089,-0.678593039513,0.713894188404,1.36542022228,0.637007772923,-0.431290864944,0.475348711014,1.10716295242,-0.464817970991,-0.0959617197514,-2.40497565269,-0.259396135807,0.361829668283
5708,1.18509829044,0.303838938475,0.144600003958,1.91685092449,-3.52393746376,0.217258945107,0.430801540613,-1.41954088211,-0.382502436638,-0.466207385063,-0.324598908424,-0.18501240015,0.390066146851,-0.450140565634,1.62772476673,-0.761181056499,0.196868315339
1213,-3.94238185883,-0.126411929727,1.34979999065,0.834610581398,-2.68466567993,0.81775611639,-0.423657000065,-1.31194233894,-0.2280254215,0.229777336121,-1.13447654247,0.411759763956,0.0183650478721,1.5103764534,0.557239174843,-0.550829708576,0.557787358761
226,-0.778970599174,-1.17577493191,-0.437850058079,1.21671295166,-0.0697574317455,0.406350255013,0.353814810514,-0.466192543507,0.849254965782,-0.0418641269207,-0.456786572933,-0.931321501732,0.396070480347,0.823328018188,1.53524792194,-0.430731445551,0.774674296379
6777,-1.05142831802,-0.63941681385,-0.482250034809,-0.434988498688,-0.630457878113,-0.583075881004,0.712658286095,-0.153558656573,1.08873093128,-0.228419274092,0.702018260956,0.0637733712792,0.231610283256,4.64119434357,4.10119771957,-0.061508461833,-1.41473841667
2113,0.730687499046,-0.0276864171028,-0.872050046921,-0.276513248682,0.309796452522,-0.646826922894,-0.323594361544,1.16705727577,0.912404000759,-0.546751141548,1.78901553154,-0.554904699326,-0.157806158066,-0.504912614822,0.564158558846,-0.438038289547,0.632915854454
3329,-0.264223337173,-0.265415638685,1.16240000725,0.72168391943,-2.88236999512,1.11922729015,-0.113692238927,-0.690387368202,-0.0563756600022,0.0518527515233,-0.591856539249,1.58522987366,-1.09457802773,1.12937021255,-1.10839629173,0.311767905951,-1.16592228413
1050,-0.181913435459,1.71825492382,0.947499990463,-0.143834739923,-0.0974916368723,0.613856077194,2.10406947136,0.403604626656,-0.469147861004,-0.369208753109,-0.316739976406,-1.30168938637,2.62303614616,1.16619765759,2.84550380707,0.971674859524,0.464067280293
9491,3.52393603325,1.40452742577,-0.258700013161,-0.522787392139,0.908215820789,0.71975505352,0.390244692564,0.598721027374,0.977541148663,-0.252767443657,0.969164431095,-0.224023863673,0.0742348954082,-1.21605420113,0.13694435358,-0.385577619076,-0.494706720114
22926,-0.385534763336,-1.10411405563,0.464300006628,-0.924756705761,-3.35091257095,-0.24487772584,0.543163895607,0.133706927299,-0.308819770813,0.330296099186,-0.0712514519691,-1.63849055767,-3.61275053024,-0.282043814659,-2.78021407127,-0.454201430082,-0.0180680565536
5899,-0.359327554703,-0.245652213693,0.79699999094,0.797431886196,-0.699850559235,2.96281480789,1.28085494041,-0.276957422495,-0.634024143219,-0.933474302292,0.330423235893,1.12421417236,-1.98269712925,0.239088237286,0.0298294723034,0.106623873115,1.85742843151
5467,2.40726184845,1.71322822571,-1.03594994545,-2.03817892075,1.69569122791,-0.806791543961,0.428792655468,0.949560284615,0.485140651464,-0.408189028502,0.665975093842,-0.500003933907,1.95425915718,0.202320799232,0.121586367488,-0.456571102142,0.443263292313
6774,-0.170997977257,-1.54333353043,0.805699944496,-0.26745390892,0.365058392286,-0.333725273609,-0.235055446625,1.12721121311,-0.154044702649,-0.420854538679,0.199690341949,-0.24527592957,1.83843111992,1.20290589333,0.840864241123,0.534257829189,0.634463071823
1788,3.23581981659,0.56553542614,-0.803599953651,-0.0512813180685,2.81520581245,0.360696613789,0.118162892759,0.60341835022,0.17963296175,0.33124729991,0.777086555958,1.09016060829,0.152703270316,-1.40119946003,-0.538056254387,0.060962472111,-0.23939460516
5921,1.07684540749,-1.81803750992,0.223649978638,0.685588657856,-2.63850474358,-0.614208579063,-0.903279900551,0.318958550692,-0.346883445978,0.55393576622,0.0115419626236,0.453668415546,-1.70177412033,0.422423303127,0.57097017765,-0.397002279758,-0.217575594783
5721,-1.67862606049,-1.53905439377,0.291249990463,2.0137052536,-0.863824307919,0.501881301403,-0.596688508987,-0.485426515341,1.61658704281,-0.375249475241,-0.875740647316,0.521683573723,0.0221685618162,1.10243105888,0.851267635822,0.453069955111,0.301093518734
2263,2.37954854965,1.05821454525,-0.233900010586,-0.655139386654,2.31501865387,1.35338401794,1.53700959682,0.756399154663,0.568848073483,0.159778058529,1.00562918186,0.219582140446,0.783582210541,-0.812866508961,-0.545308947563,0.243424549699,0.223329901695
