rid,CPC011_A375_6H:BRD-K06878038-001-13-7:10,CPC011_A549_6H:BRD-K06878038-001-13-7:10,CPC011_A549_24H:BRD-K06878038-001-13-7:10,CPC011_HA1E_6H:BRD-K06878038-001-13-7:10,CPC011_HT29_6H:BRD-K06878038-001-13-7:10,CPC011_MCF7_6H:BRD-K06878038-001-13-7:10,CPC011_MCF7_24H:BRD-K06878038-001-13-7:10,CPC011_PC3_6H:BRD-K06878038-001-13-7:10,CPC011_PC3_24H:BRD-K06878038-001-13-7:10,CPC011_VCAP_6H:BRD-K06878038-001-13-7:10,CPC011_VCAP_24H:BRD-K06878038-001-13-7:10
5321,-0.24807882309,-0.00231222808361,-0.388487368822,-0.360949993134,-1.11693704128,0.370299994946,-0.286550015211,-1.06115567684,0.0208499953151,0.425982385874,-0.750292181969
4144,-0.439611077309,-0.117987588048,0.411610692739,-0.0358999967575,0.102031573653,0.251350015402,-0.226700007915,-1.06266355515,0.136999994516,-0.333937257528,-0.714148938656
1981,-0.347839593887,1.28287148476,0.153298810124,2.04134988785,-0.35565662384,-0.189749985933,-0.833549976349,-0.182475358248,1.16194999218,0.211764037609,-0.392846524715
695,0.151307657361,-0.189322113991,6.86087226868,-1.22530007362,-0.43776422739,-0.405000030994,-0.056400001049,0.335667639971,-0.0110249966383,-0.133612468839,0.292396008968
10398,-0.606981515884,-0.219697952271,0.168070569634,-0.350400000811,2.57884049416,0.694149911404,0.308750033379,0.349857449532,0.146799996495,0.193271070719,0.546770751476
5708,-0.383065849543,-0.984664618969,-0.668285369873,-0.0830500051379,-0.668172717094,0.306400001049,-0.0459499955177,-0.386592239141,1.25285005569,0.812048375607,0.823546409607
1213,0.282719969749,0.0899116620421,0.362152963877,-0.577250063419,0.161935836077,0.378800004721,-0.49430000782,0.169513553381,-0.280375003815,0.162553206086,-0.106353983283
226,-0.2966555655,0.2466275841,0.495679616928,-0.22879999876,-0.155989900231,-0.432749986649,0.233249992132,1.17849028111,-0.145824998617,0.66582685709,0.821271359921
6777,-0.122811153531,0.564057350159,-0.241440519691,-0.551900029182,-0.369230419397,4.81699991226,-0.148149996996,0.119976639748,0.00505000352859,-0.0535392984748,-0.22807970643
2113,-1.01126503944,-1.42748582363,0.10376612097,-0.417199999094,-0.360655426979,-0.516700029373,0.41914999485,-0.104042485356,0.105275020003,0.854433715343,-0.140216007829
3329,-0.628854572773,0.888956189156,1.94521224499,0.609050035477,0.153832346201,-0.228049993515,0.104699999094,0.171909943223,0.769150018692,-0.470096558332,0.385512083769
