rid,DOS024_VCAP_6H:BRD-K09068728-001-01-2:5,DOS024_VCAP_24H:BRD-K09068728-001-01-2:5,DOS053_A375_24H:BRD-K09068728-001-01-2:5,DOS053_A549_24H:BRD-K09068728-001-01-2:5,DOS053_MCF7_24H:BRD-K09068728-001-01-2:5,DOS053_PC3_24H:BRD-K09068728-001-01-2:5,DOSBIO001_A375_24H:BRD-K09068728:10,DOSBIO001_A549_24H:BRD-K09068728:10,DOSBIO001_HT29_24H:BRD-K09068728:10,DOSBIO001_MCF7_24H:BRD-K09068728:10,DOSBIO001_PC3_24H:BRD-K09068728:10,DOSBIO001_NEU_24H:BRD-K09068728:10,DOSBIO001_NPC_24H:BRD-K09068728:10
4144,-6.44350004196,-3.43141269684,0.865750014782,0.91914999485,0.887700021267,-0.314449965954,-3.23061943054,0.33049505949,-0.520130753517,0.298112720251,1.01027274132,-0.46590000391,-0.248570382595
1981,-0.0680999979377,2.77394413948,-0.848450005054,-1.73790001869,1.05920004845,-3.31640005112,0.114082589746,-0.105856619775,0.581183969975,0.100204184651,0.327483475208,-0.66455000639,0.222132354975
695,0.812600016594,-1.60775232315,0.215650007129,1.02424991131,10.0,2.34045004845,0.212876081467,0.656045973301,-1.59173822403,-0.317453891039,-0.332967758179,-0.857500016689,1.69044005871
10398,-1.66910004616,-1.32755637169,-1.09079992771,-0.673799991608,-0.140400007367,-0.981249988079,-0.599816739559,0.453801304102,-0.506351172924,-0.569267392159,-0.379399120808,-0.0926000028849,0.10528215766
5708,-3.84870004654,-0.914009511471,-0.173150002956,0.114050000906,-0.199799999595,0.388350009918,0.805277824402,0.0594817399979,0.198866933584,0.420184731483,0.217772647738,-0.519449949265,1.17178666592
1213,2.17339992523,1.25829744339,-0.897449970245,0.736299991608,0.430099993944,-0.218149989843,0.794109582901,0.0188533961773,-0.693765461445,0.153649270535,1.48408269882,0.0489499568939,1.11528289318
226,-3.26009988785,-1.65910172462,0.07025000453,-0.889550030231,-4.27460002899,-1.07634997368,-0.0345098674297,-0.314488559961,-1.67248082161,-0.289084464312,0.0577927976847,6.13070011139,1.33646190166
6777,0.0,1.04086828232,1.44055008888,0.971249997616,-0.204199999571,-0.224749982357,0.0473533272743,-0.381187111139,-1.19108271599,0.259363263845,-0.995284676552,-0.879349946976,0.278604984283
2113,-1.5857000351,-0.222930774093,-1.7499499321,-1.37520003319,0.610000014305,1.4511500597,-0.315027505159,-0.570913732052,0.156520783901,0.659593641758,-1.28411316872,-0.653450012207,0.1999091506
3329,0.291500002146,-2.97896957397,-3.02769994736,0.703600049019,-0.56819999218,0.0126999989152,-5.71830892563,-0.531629562378,-3.07129478455,-0.466782838106,-4.81888103485,0.953449964523,0.0288626477122
1050,1.6373000145,1.65886712074,1.21504998207,0.356399983168,-1.45990002155,0.652700006962,0.662912726402,-1.62787330151,0.246214166284,-0.124831914902,-0.6479357481,-0.547349989414,0.367143839598
9491,-0.766600012779,-0.81799864769,-0.0638500154018,-1.34810006618,-0.337799996138,-0.66069996357,0.698685228825,0.366426169872,-0.862338781357,0.284224569798,0.581362962723,0.366250038147,0.395373433828
22926,-0.326799988747,0.650943875313,-0.244049981236,0.489899992943,0.348800003529,-0.769650042057,1.07998633385,-0.374321550131,-0.0737195536494,0.395484119654,0.083173237741,0.812299966812,-0.117058172822
5899,1.12860000134,-0.805069386959,0.456800013781,-1.43239998817,-2.93230009079,-0.813699960709,0.725542247295,1.01393508911,-1.48328197002,-0.98074233532,-0.337380379438,0.151600003242,-1.65645468235
